AUTHOR,BORN-DIED,TITLE,TECHNIQUE,LOCATION,URL,TYPE,FORM,SCHOOL,TIMEFRAME,,
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Exterior view,Photo,"Kedleston Hall, Derbyshire",http://www.wga.hu/art/a/adam2/kedlesto.jpg,architecture,other,Scottish,1751-1800,,
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,Photo,"Syon House, Middlesex",http://www.wga.hu/art/a/adam2/syon1.jpg,architecture,interior,Scottish,1751-1800,,
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,Photo,"Syon House, Middlesex",http://www.wga.hu/art/a/adam2/syon2.jpg,architecture,interior,Scottish,1751-1800,,
"ADAM, Robert","(b. 1728, Kirkcaldy, d. 1792, London)",Interior view,Photo,"Syon House, Middlesex",http://www.wga.hu/art/a/adam2/syon3.jpg,architecture,interior,Scottish,1751-1800,,
"AELST, Willem van","(b. 1627, Delft, d. ca. 1683, Amsterdam)",Still-Life,"Oil on canvas, 40 x 32 cm",Private collection,http://www.wga.hu/art/a/aelst/stilflow.jpg,painting,still-life,Dutch,1651-1700,,
"AGASSE, Jacques-Laurent","(b. 1767, Geneve, d. 1849, London)",A Gentleman with Horses by a Stream,"Oil on panel, 20 x 28 cm",Private collection,http://www.wga.hu/art/a/agasse/gentlema.jpg,painting,other,Swiss,1801-1850,,
"ALBERTI, Leon Battista","(b. 1404, Genova, d. 1472, Roma)",Exterior view,Photo,"Santa Maria Novella, Florence",http://www.wga.hu/art/a/alberti/novella2.jpg,architecture,other,Italian,1401-1450,,
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Annunciation,"Tempera and gold on wood, 41 x 36 cm","Metropolitan Museum of Art, New York",http://www.wga.hu/art/a/alesso/annuncia.jpg,painting,religious,Italian,1501-1550,,
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Crucifixion,"Oil on panel, 54 x 41 cm",Private collection,http://www.wga.hu/art/a/alesso/crucifix.jpg,painting,religious,Italian,1501-1550,,
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Crucifixion (detail),Oil on panel,Private collection,http://www.wga.hu/art/a/alesso/crucifiz.jpg,painting,religious,Italian,1501-1550,,
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Madonna and Child,"Tempera on panel, 34 x 25 cm",Private collection,http://www.wga.hu/art/a/alesso/madchild.jpg,painting,religious,Italian,1501-1550,,
ALESSO DI BENOZZO,"(b. 1473, Firenze, d. 1528, Firenze)",Pietà,Tempera on wood,"Musée d'art et d'histoire, Geneva",http://www.wga.hu/art/a/alesso/pieta.jpg,painting,religious,Italian,1501-1550,,
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",General view,Photo,"Villa Doria Pamphili, Rome",http://www.wga.hu/art/a/algardi/1/z_villa1.jpg,architecture,other,Italian,1601-1650,,
"ALGARDI, Alessandro","(b. 1598, Bologna, d. 1654, Roma)",General view,Photo,"Villa Doria Pamphili, Rome",http://www.wga.hu/art/a/algardi/1/z_villa2.jpg,architecture,other,Italian,1601-1650,,
"ÁLVARES, Baltasar","(active 1570, died 1624)",Exterior view,Photo,"Nossa Senhora dos Grilos, Porto",http://www.wga.hu/art/a/alvares/porto1.jpg,architecture,other,Portuguese,1601-1650,,
"ÁLVARES, Baltasar","(active 1570, died 1624)",Exterior view,Photo,"Nossa Senhora dos Grilos, Porto",http://www.wga.hu/art/a/alvares/porto2.jpg,architecture,other,Portuguese,1601-1650,,
"AMSTEL, Jan van","(b. ca. 1500, Amsterdam, d. ca. 1542, Antwerpen)",Dispute in a Brothel,"Oil on oak panel, 76 x 105 cm",Private collection,http://www.wga.hu/art/a/amstel/brothel.jpg,painting,genre,Netherlandish,1501-1550,,
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",Italianate Coastal Landscape,"Oil on copper, 21 x 30 cm",Private collection,http://www.wga.hu/art/a/anesi/landsca3.jpg,painting,landscape,Italian,1701-1750,,
ARCANGELO DI JACOPO DEL SELLAIO,"(b. 1477/78, Firenze, d. 1530, Firenze)",Penitent St Jerome in the Wilderness,"Oil on poplar panel, 22 x 17 cm",Private collection,http://www.wga.hu/art/a/arcangel/stjerome.jpg,painting,religious,Italian,1501-1550,,
"ARCHITECT, Austrian",(active 1620-1654 in Tyrol),Exterior view,Photo,"St. Charles Church, Volders",http://www.wga.hu/art/zzzarchi/17c/6/01a_1601.jpg,architecture,other,Austrian,1601-1650,,
"ARCHITECT, Austrian",(active 1620-1654 in Tyrol),Exterior view,Photo,"St. Charles Church, Volders",http://www.wga.hu/art/zzzarchi/17c/6/01a_1602.jpg,architecture,other,Austrian,1601-1650,,
"ARCHITECT, Austrian",(active after 1614 in Styria),Exterior view,Photo,"Mausoleum of Emperor Ferdinand II, Graz",http://www.wga.hu/art/zzzarchi/17c/6/01a_1603.jpg,architecture,other,Austrian,1601-1650,,
"ARCHITECT, Austrian",(active after 1714 in Styria),Exterior view,Photo,"Pilgrimage church, Graz",http://www.wga.hu/art/zzzarchi/18c/6/01a_1701.jpg,architecture,other,Austrian,1701-1750,,
"ARCHITECT, Austrian",(active after 1714 in Styria),Interior view,Photo,"Pilgrimage church, Graz",http://www.wga.hu/art/zzzarchi/18c/6/01a_1702.jpg,architecture,interior,Austrian,1701-1750,,
"ARCHITECT, Austrian",(active 1717-1724 in Upper Austria),Exterior view,Photo,"Trinity church, Stadl-Paura",http://www.wga.hu/art/zzzarchi/18c/6/02a_1701.jpg,architecture,other,Austrian,1701-1750,,
"ARCHITECT, Austrian",(active 1720s in Lower Austria),Exterior view,Photo,"Collegiate church, Zwettl",http://www.wga.hu/art/zzzarchi/18c/6/03a_1701.jpg,architecture,other,Austrian,1701-1750,,
"ARCHITECT, Austrian",(active 1720s in Lower Austria),Exterior view,Photo,"Collegiate church, Zwettl",http://www.wga.hu/art/zzzarchi/18c/6/03a_1702.jpg,architecture,other,Austrian,1701-1750,,
"ARCHITECT, Danish",(active 1619-1674 in Copenhagen),Exterior view,Photo,"Stock Exchange, Copenhagen",http://www.wga.hu/art/zzzarchi/17c/6/09o_1601.jpg,architecture,other,Danish,1601-1650,,
"ARCHITECT, Dutch",(active after 1639 in Leiden),Interior view,Photo,"Marekerk, Leiden",http://www.wga.hu/art/zzzarchi/17c/6/03d_1601.jpg,architecture,interior,Dutch,1601-1650,,
